      gene      | go_accession |                                                                                           go_term                                                                                           
 Smp_043260.1   | GO:0005886   | plasma membrane
 Smp_150880.1   | GO:0005634   | nucleus
 Smp_150850.2   | GO:0008270   | zinc ion binding
 Smp_150850.2   | GO:0006355   | regulation of transcription, DNA-templated
 Smp_150850.2   | GO:0016568   | chromatin modification
 Smp_150850.2   | GO:0006350   | transcription (obsolete GO:0006350)
 Smp_150850.2   | GO:0005634   | nucleus
 Smp_150810.1   | GO:0043565   | sequence-specific DNA binding
 Smp_150810.1   | GO:0003700   | transcription factor activity, sequence-specific DNA binding
 Smp_150810.1   | GO:0006355   | regulation of transcription, DNA-templated
 Smp_150810.1   | GO:0006350   | transcription (obsolete GO:0006350)
 Smp_150810.1   | GO:0005634   | nucleus
 Smp_153790.1   | GO:0003735   | structural constituent of ribosome
 Smp_153790.1   | GO:0006412   | translation
 Smp_153790.1   | GO:0005622   | intracellular
 Smp_153790.1   | GO:0005840   | ribosome
 Smp_192830.1   | GO:0016020   | membrane
 Smp_198040.1   | GO:0005737   | cytoplasm
 Smp_007970.1   | GO:0005737   | cytoplasm
 Smp_179870.1   | GO:0016787   | hydrolase activity
 Smp_179870.1   | GO:0016021   | integral component of membrane
 Smp_179870.1   | GO:0016020   | membrane
 Smp_114900.1   | GO:0008233   | peptidase activity
 Smp_114900.1   | GO:0006508   | proteolysis
 Smp_090820.1   | GO:0008654   | phospholipid biosynthetic process
 Smp_090820.1   | GO:0008152   | metabolic process
 Smp_090820.1   | GO:0016021   | integral component of membrane
 Smp_090820.1   | GO:0005886   | plasma membrane
 Smp_155760.1   | GO:0016021   | integral component of membrane
 Smp_155760.1   | GO:0016020   | membrane
 Smp_155780.1   | GO:0005622   | intracellular
 Smp_070190.1   | GO:0004402   | histone acetyltransferase activity
 Smp_070190.1   | GO:0006355   | regulation of transcription, DNA-templated
 Smp_070190.1   | GO:0006350   | transcription (obsolete GO:0006350)
 Smp_070190.1   | GO:0005634   | nucleus
 Smp_070110.1   | GO:0006886   | intracellular protein transport
 Smp_070110.1   | GO:0005739   | mitochondrion
 Smp_070110.1   | GO:0005840   | ribosome
 Smp_070000.1   | GO:0005622   | intracellular
 Smp_070000.1   | GO:0005737   | cytoplasm
 Smp_070030.1   | GO:0015031   | protein transport
 Smp_070030.1   | GO:0016020   | membrane
 Smp_070030.1   | GO:0005737   | cytoplasm
 Smp_096760.1   | GO:0046538   | 2,3-bisphosphoglycerate-dependent phosphoglycerate mutase activity
 Smp_042400.1   | GO:0005576   | extracellular region
 Smp_166190.1   | GO:0000166   | nucleotide binding
 Smp_166190.1   | GO:0003723   | RNA binding
 Smp_166190.1   | GO:0005634   | nucleus
 Smp_166190.1   | GO:0005737   | cytoplasm
 Smp_062420.2   | GO:0005737   | cytoplasm
 Smp_062420.4   | GO:0005634   | nucleus
 Smp_062420.4   | GO:0005737   | cytoplasm
 Smp_155860.1   | GO:0005634   | nucleus
 Smp_062510.2   | GO:0005525   | GTP binding
 Smp_062510.2   | GO:0015031   | protein transport
 Smp_062510.2   | GO:0007264   | small GTPase mediated signal transduction
 Smp_062510.2   | GO:0005886   | plasma membrane
 Smp_144990.1   | GO:0016020   | membrane
 Smp_145060.1   | GO:0008654   | phospholipid biosynthetic process
 Smp_145060.1   | GO:0008152   | metabolic process
 Smp_145060.1   | GO:0016021   | integral component of membrane
 Smp_180790.1   | GO:0016020   | membrane
 Smp_104960.1   | GO:0006886   | intracellular protein transport
 Smp_104960.1   | GO:0016021   | integral component of membrane
 Smp_104960.1   | GO:0016020   | membrane
 Smp_152500.1   | GO:0016021   | integral component of membrane
 Smp_152500.1   | GO:0030553   | cGMP binding
 Smp_055220.2   | GO:0016020   | membrane
 Smp_055220.2   | GO:0005576   | extracellular region
 Smp_055200.1   | GO:0016021   | integral component of membrane
 Smp_151520.1   | GO:0016021   | integral component of membrane
 Smp_151510.1   | GO:0003677   | DNA binding
 Smp_151510.1   | GO:0007126   | meiotic nuclear division
 Smp_151510.1   | GO:0005634   | nucleus
 Smp_149180.1   | GO:0008270   | zinc ion binding
 Smp_149180.1   | GO:0003700   | transcription factor activity, sequence-specific DNA binding
 Smp_149180.1   | GO:0006355   | regulation of transcription, DNA-templated
 Smp_149180.1   | GO:0006350   | transcription (obsolete GO:0006350)
 Smp_149180.1   | GO:0005634   | nucleus
 Smp_149180.1   | GO:0005622   | intracellular
 Smp_149140.1   | GO:0016021   | integral component of membrane
 Smp_149140.1   | GO:0005886   | plasma membrane
 Smp_149140.1   | GO:0005509   | calcium ion binding
 Smp_149140.1   | GO:0005515   | protein binding
 Smp_027390.1   | GO:0015031   | protein transport
 Smp_027390.1   | GO:0005737   | cytoplasm
 Smp_137000.1   | GO:0005509   | calcium ion binding
 Smp_137000.1   | GO:0005215   | transporter activity
 Smp_137000.1   | GO:0006810   | transport
 Smp_137000.1   | GO:0005739   | mitochondrion
 Smp_137000.1   | GO:0016021   | integral component of membrane
 Smp_027340.1   | GO:0016021   | integral component of membrane
 Smp_193360.1   | GO:0005634   | nucleus
 Smp_016250.1   | GO:0005525   | GTP binding
 Smp_016390.1   | GO:0015031   | protein transport
 Smp_016390.1   | GO:0016020   | membrane
 Smp_016390.1   | GO:0005737   | cytoplasm
 Smp_016550.1   | GO:0005525   | GTP binding
 Smp_016550.1   | GO:0003924   | GTPase activity
 Smp_016550.1   | GO:0005622   | intracellular
 Smp_149230.1   | GO:0043565   | sequence-specific DNA binding
 Smp_149230.1   | GO:0003700   | transcription factor activity, sequence-specific DNA binding
 Smp_149230.1   | GO:0006355   | regulation of transcription, DNA-templated
 Smp_149230.1   | GO:0006350   | transcription (obsolete GO:0006350)
 Smp_149230.1   | GO:0005634   | nucleus
 Smp_050590.1   | GO:0008080   | N-acetyltransferase activity
 Smp_050590.1   | GO:0008152   | metabolic process
 Smp_050590.1   | GO:0005737   | cytoplasm
 Smp_055670.1   | GO:0005886   | plasma membrane
 Smp_055670.1   | GO:0005525   | GTP binding
 Smp_055670.1   | GO:0015031   | protein transport
 Smp_055670.1   | GO:0007264   | small GTPase mediated signal transduction
 Smp_055770.2   | GO:0007165   | signal transduction
 Smp_055780.1   | GO:0005524   | ATP binding
 Smp_055780.1   | GO:0016021   | integral component of membrane
 Smp_055780.1   | GO:0005886   | plasma membrane
 Smp_089050.1   | GO:0003677   | DNA binding
 Smp_089050.1   | GO:0008270   | zinc ion binding
 Smp_089050.1   | GO:0005634   | nucleus
 Smp_179140.1   | GO:0003676   | nucleic acid binding
 Smp_179140.1   | GO:0006412   | translation
 Smp_179140.1   | GO:0006422   | aspartyl-tRNA aminoacylation
 Smp_179140.1   | GO:0005737   | cytoplasm
 Smp_194130.1   | GO:0016021   | integral component of membrane
 Smp_194130.1   | GO:0016020   | membrane
 Smp_151070.1   | GO:0006350   | transcription (obsolete GO:0006350)
 Smp_053830.1   | GO:0003735   | structural constituent of ribosome
 Smp_053830.1   | GO:0006412   | translation
 Smp_053830.1   | GO:0005622   | intracellular
 Smp_053830.1   | GO:0005840   | ribosome
 Smp_179670.1   | GO:0005524   | ATP binding
 Smp_179670.1   | GO:0016020   | membrane
 Smp_179670.1   | GO:0005634   | nucleus
 Smp_103140.1   | GO:0007017   | microtubule-based process
 Smp_103140.1   | GO:0051258   | protein polymerization
 Smp_103140.1   | GO:0007018   | microtubule-based movement
 Smp_103140.1   | GO:0019904   | protein domain specific binding
 Smp_103140.1   | GO:0003924   | GTPase activity
 Smp_103140.1   | GO:0005525   | GTP binding
 Smp_103140.1   | GO:0000166   | nucleotide binding
 Smp_090140.1   | GO:0005634   | nucleus
 Smp_090140.2   | GO:0005634   | nucleus
 Smp_050350.3   | GO:0046872   | metal ion binding
 Smp_050350.3   | GO:0016787   | hydrolase activity
 Smp_026030.1   | GO:0003677   | DNA binding
 Smp_026030.1   | GO:0005524   | ATP binding
 Smp_026030.1   | GO:0004386   | helicase activity
 Smp_026030.1   | GO:0016787   | hydrolase activity
 Smp_026030.1   | GO:0006355   | regulation of transcription, DNA-templated
 Smp_026030.1   | GO:0016568   | chromatin modification
 Smp_026030.1   | GO:0006350   | transcription (obsolete GO:0006350)
 Smp_026030.1   | GO:0005634   | nucleus
 Smp_148800.1   | GO:0005506   | iron ion binding
 Smp_148800.1   | GO:0005739   | mitochondrion
 Smp_148790.1   | GO:0005576   | extracellular region
 Smp_148790.1   | GO:0005604   | basement membrane
 Smp_193950.1   | GO:0005737   | cytoplasm
 Smp_198230.1   | GO:0005524   | ATP binding
 Smp_198230.1   | GO:0005737   | cytoplasm
 Smp_026040.1   | GO:0005524   | ATP binding
 Smp_136310.1   | GO:0008508   | bile acid:sodium symporter activity
 Smp_136310.1   | GO:0031402   | sodium ion binding
 Smp_136310.1   | GO:0006814   | sodium ion transport
 Smp_136310.1   | GO:0016021   | integral component of membrane
 Smp_136310.1   | GO:0016020   | membrane
 Smp_154510.1   | GO:0005524   | ATP binding
 Smp_154510.1   | GO:0006468   | protein phosphorylation
 Smp_154510.1   | GO:0016021   | integral component of membrane
 Smp_154510.1   | GO:0016020   | membrane
 Smp_154560.1   | GO:0045202   | synapse
 Smp_154560.1   | GO:0005737   | cytoplasm
 Smp_093280.1   | GO:0005634   | nucleus
 Smp_093280.1   | GO:0004407   | histone deacetylase activity
 Smp_093280.1   | GO:0008134   | transcription factor binding
 Smp_093280.1   | GO:0006355   | regulation of transcription, DNA-templated
 Smp_093280.1   | GO:0016575   | histone deacetylation
 Smp_093280.1   | GO:0006350   | transcription (obsolete GO:0006350)
 Smp_150580.1   | GO:0005737   | cytoplasm
 Smp_153340.1   | GO:0016787   | hydrolase activity
 Smp_153340.1   | GO:0008152   | metabolic process
 Smp_153340.1   | GO:0016021   | integral component of membrane
 Smp_153340.1   | GO:0016020   | membrane
 Smp_058130.1   | GO:0005509   | calcium ion binding
 Smp_058130.1   | GO:0005215   | transporter activity
 Smp_058130.1   | GO:0006810   | transport
 Smp_058130.1   | GO:0005739   | mitochondrion
 Smp_058130.1   | GO:0016021   | integral component of membrane
 Smp_058140.1   | GO:0005737   | cytoplasm
 Smp_069910.1   | GO:0005739   | mitochondrion
 Smp_069910.1   | GO:0005840   | ribosome
 Smp_160150.1   | GO:0043565   | sequence-specific DNA binding
 Smp_160150.1   | GO:0006355   | regulation of transcription, DNA-templated
 Smp_160150.1   | GO:0006350   | transcription (obsolete GO:0006350)
 Smp_160150.1   | GO:0016021   | integral component of membrane
 Smp_160150.1   | GO:0016020   | membrane
 Smp_160150.1   | GO:0005634   | nucleus
 Smp_160150.1   | GO:0005622   | intracellular
 Smp_160160.1   | GO:0016021   | integral component of membrane
 Smp_160160.1   | GO:0016020   | membrane
 Smp_160160.1   | GO:0055085   | transmembrane transport
 Smp_045640.1   | GO:0008270   | zinc ion binding
 Smp_045640.1   | GO:0003700   | transcription factor activity, sequence-specific DNA binding
 Smp_045640.1   | GO:0006355   | regulation of transcription, DNA-templated
 Smp_045640.1   | GO:0006350   | transcription (obsolete GO:0006350)
 Smp_045640.1   | GO:0005634   | nucleus
 Smp_045640.1   | GO:0005622   | intracellular
 Smp_045650.1   | GO:0005737   | cytoplasm
 Smp_146740.1   | GO:0003824   | catalytic activity
 Smp_146740.1   | GO:0031402   | sodium ion binding
 Smp_146740.1   | GO:0006813   | potassium ion transport
 Smp_146740.1   | GO:0006814   | sodium ion transport
 Smp_146740.1   | GO:0008152   | metabolic process
 Smp_146740.1   | GO:0016021   | integral component of membrane
 Smp_146740.1   | GO:0005886   | plasma membrane
 Smp_043620.1   | GO:0005524   | ATP binding
 Smp_043620.1   | GO:0004017   | adenylate kinase activity
 Smp_043620.1   | GO:0005737   | cytoplasm
 Smp_156900.1   | GO:0016021   | integral component of membrane
 Smp_156900.1   | GO:0016020   | membrane
 Smp_064380.1   | GO:0005737   | cytoplasm
 Smp_156870.1   | GO:0016021   | integral component of membrane
 Smp_156870.1   | GO:0016020   | membrane
 Smp_064320.2   | GO:0005737   | cytoplasm
 Smp_008910.1   | GO:0005737   | cytoplasm
 Smp_154140.1   | GO:0008233   | peptidase activity
 Smp_154140.1   | GO:0005509   | calcium ion binding
 Smp_154140.1   | GO:0004289   | obsolete subtilase activity (obsolete GO:0004289)
 Smp_154140.1   | GO:0006508   | proteolysis
 Smp_154140.1   | GO:0016020   | membrane
 Smp_154140.1   | GO:0005576   | extracellular region
 Smp_143710.1   | GO:0016021   | integral component of membrane
 Smp_143710.1   | GO:0005886   | plasma membrane
 Smp_143710.1   | GO:0045202   | synapse
 Smp_144030.1   | GO:0016021   | integral component of membrane
 Smp_144030.1   | GO:0005886   | plasma membrane
 Smp_144030.1   | GO:0008654   | phospholipid biosynthetic process
 Smp_164640.1   | GO:0005509   | calcium ion binding
 Smp_164640.1   | GO:0005737   | cytoplasm
 Smp_155190.1   | GO:0005244   | voltage-gated ion channel activity
 Smp_155190.1   | GO:0005509   | calcium ion binding
 Smp_155190.1   | GO:0016021   | integral component of membrane
 Smp_155190.1   | GO:0016020   | membrane
 Smp_061570.1   | GO:0006350   | transcription (obsolete GO:0006350)
 Smp_061570.1   | GO:0016021   | integral component of membrane
 Smp_061570.1   | GO:0016020   | membrane
 Smp_061570.1   | GO:0005634   | nucleus
 Smp_182060.1   | GO:0008026   | ATP-dependent helicase activity
 Smp_182060.1   | GO:0046872   | metal ion binding
 Smp_182060.1   | GO:0004386   | helicase activity
 Smp_182060.1   | GO:0005524   | ATP binding
 Smp_182060.1   | GO:0003723   | RNA binding
 Smp_182060.1   | GO:0006355   | regulation of transcription, DNA-templated
 Smp_182060.1   | GO:0016021   | integral component of membrane
 Smp_182060.1   | GO:0016020   | membrane
 Smp_182060.1   | GO:0005634   | nucleus
 Smp_169330.1   | GO:0005634   | nucleus
 Smp_169330.1   | GO:0005737   | cytoplasm
 Smp_159390.1   | GO:0016020   | membrane
 Smp_198260.1   | GO:0005524   | ATP binding
 Smp_198260.1   | GO:0006468   | protein phosphorylation
 Smp_198260.1   | GO:0016021   | integral component of membrane
 Smp_198260.1   | GO:0016020   | membrane
 Smp_010370.1   | GO:0016021   | integral component of membrane
 Smp_010370.1   | GO:0016020   | membrane
 Smp_213420.1   | GO:0005634   | nucleus
 Smp_213420.1   | GO:0005622   | intracellular
 Smp_213450.1   | GO:0005737   | cytoplasm
 Smp_213450.1   | GO:0006284   | base-excision repair
 Smp_900050.1   | GO:0006810   | transport
 Smp_900050.1   | GO:0016021   | integral component of membrane
 Smp_900050.1   | GO:0008137   | NADH dehydrogenase (ubiquinone) activity
 Smp_900050.1   | GO:0005515   | protein binding
 Smp_900020.1   | GO:0006810   | transport
 Smp_900020.1   | GO:0016021   | integral component of membrane
 Smp_900020.1   | GO:0008137   | NADH dehydrogenase (ubiquinone) activity
 Smp_900000.1   | GO:0055114   | oxidation-reduction process
 Smp_213490.1   | GO:0005524   | ATP binding
 Smp_213490.1   | GO:0030983   | mismatched DNA binding
 Smp_213490.1   | GO:0006298   | mismatch repair
 Smp_213500.1   | GO:0016291   | acyl-CoA thioesterase activity (obsolete GO:acyl-CoA thioesterase activity)
 Smp_213500.1   | GO:0006637   | acyl-CoA metabolic process
 Smp_213520.1   | GO:0005737   | cytoplasm
 Smp_213520.1   | GO:0005524   | ATP binding
 Smp_213040.1   | GO:0008233   | peptidase activity
 Smp_213040.1   | GO:0006508   | proteolysis
 Smp_213040.1   | GO:0016020   | membrane
 Smp_213040.1   | GO:0005829   | cytosol
 Smp_213070.1   | GO:0008270   | zinc ion binding
 Smp_213070.1   | GO:0006355   | regulation of transcription, DNA-templated
 Smp_213070.1   | GO:0006350   | transcription (obsolete GO:0006350)
 Smp_213070.1   | GO:0005634   | nucleus
 Smp_213120.1   | GO:0016021   | integral component of membrane
 Smp_213120.1   | GO:0016020   | membrane
 Smp_127770.1   | GO:0007264   | small GTPase mediated signal transduction
 Smp_127770.1   | GO:0016020   | membrane
 Smp_127770.1   | GO:0005622   | intracellular
 Smp_127770.1   | GO:0005737   | cytoplasm
 Smp_010620.1   | GO:0008270   | zinc ion binding
 Smp_010620.1   | GO:0005634   | nucleus
 Smp_127870.1   | GO:0016021   | integral component of membrane
 Smp_127870.1   | GO:0005886   | plasma membrane
 Smp_010820.1   | GO:0016021   | integral component of membrane
 Smp_010820.1   | GO:0016020   | membrane
 Smp_010820.1   | GO:0008270   | zinc ion binding
 Smp_010820.1   | GO:0005515   | protein binding
 Smp_010820.1   | GO:0055114   | oxidation-reduction process
 Smp_212340.1   | GO:0005634   | nucleus
 Smp_212340.1   | GO:0005622   | intracellular
 Smp_212340.1   | GO:0046872   | metal ion binding
 Smp_212340.1   | GO:0043565   | sequence-specific DNA binding
 Smp_212340.1   | GO:0006355   | regulation of transcription, DNA-templated
 Smp_212340.1   | GO:0006350   | transcription (obsolete GO:0006350)
 Smp_127920.1   | GO:0005524   | ATP binding
 Smp_127920.1   | GO:0004674   | protein serine/threonine kinase activity
 Smp_127920.1   | GO:0006468   | protein phosphorylation
 Smp_165750.1   | GO:0017172   | cysteine dioxygenase activity
 Smp_165750.1   | GO:0005506   | iron ion binding
 Smp_140240.1   | GO:0003677   | DNA binding
 Smp_140240.1   | GO:0005634   | nucleus
 Smp_140240.1   | GO:0005737   | cytoplasm
 Smp_033440.1   | GO:0016021   | integral component of membrane
 Smp_033440.1   | GO:0005886   | plasma membrane
 Smp_033440.1   | GO:0005524   | ATP binding
 Smp_033440.1   | GO:0008152   | metabolic process
 Smp_116760.1   | GO:0046872   | metal ion binding
 Smp_116760.1   | GO:0000166   | nucleotide binding
 Smp_116760.1   | GO:0005737   | cytoplasm
 Smp_152980.1   | GO:0043565   | sequence-specific DNA binding
 Smp_152980.1   | GO:0003700   | transcription factor activity, sequence-specific DNA binding
 Smp_152980.1   | GO:0006355   | regulation of transcription, DNA-templated
 Smp_152980.1   | GO:0006350   | transcription (obsolete GO:0006350)
 Smp_152980.1   | GO:0005634   | nucleus
 Smp_152890.1   | GO:0008270   | zinc ion binding
 Smp_152890.1   | GO:0005524   | ATP binding
 Smp_152890.1   | GO:0005886   | plasma membrane
 Smp_152890.1   | GO:0005737   | cytoplasm
 Smp_139990.1   | GO:0016021   | integral component of membrane
 Smp_139990.1   | GO:0016020   | membrane
 Smp_140000.1   | GO:0016021   | integral component of membrane
 Smp_140000.1   | GO:0016020   | membrane
 Smp_144860.1   | GO:0000166   | nucleotide binding
 Smp_144860.1   | GO:0003723   | RNA binding
 Smp_144860.1   | GO:0005634   | nucleus
 Smp_144860.1   | GO:0005737   | cytoplasm
 Smp_134560.1   | GO:0005524   | ATP binding
 Smp_134560.1   | GO:0006355   | regulation of transcription, DNA-templated
 Smp_134560.1   | GO:0006468   | protein phosphorylation
 Smp_134560.1   | GO:0006350   | transcription (obsolete GO:0006350)
 Smp_134560.1   | GO:0005634   | nucleus
 Smp_134560.1   | GO:0005737   | cytoplasm
 Smp_194310.1   | GO:0016020   | membrane
 Smp_194310.1   | GO:0005737   | cytoplasm
 Smp_139350.1   | GO:0005524   | ATP binding
 Smp_139350.1   | GO:0005737   | cytoplasm
 Smp_139370.1   | GO:0016020   | membrane
 Smp_031770.15  | GO:0005737   | cytoplasm
 Smp_031770.12  | GO:0005737   | cytoplasm
 Smp_031770.9   | GO:0005737   | cytoplasm
 Smp_144620.1   | GO:0008270   | zinc ion binding
 Smp_144620.1   | GO:0005524   | ATP binding
 Smp_144620.1   | GO:0005509   | calcium ion binding
 Smp_144620.1   | GO:0006468   | protein phosphorylation
 Smp_144620.1   | GO:0005737   | cytoplasm
 Smp_144640.1   | GO:0016021   | integral component of membrane
 Smp_144640.1   | GO:0005886   | plasma membrane
 Smp_041350.1   | GO:0000166   | nucleotide binding
 Smp_041350.1   | GO:0003723   | RNA binding
 Smp_041350.1   | GO:0005634   | nucleus
 Smp_041350.1   | GO:0005737   | cytoplasm
 Smp_041430.1   | GO:0019904   | protein domain specific binding
 Smp_041430.1   | GO:0005737   | cytoplasm
 Smp_041480.3   | GO:0000166   | nucleotide binding
 Smp_041480.3   | GO:0003723   | RNA binding
 Smp_041480.3   | GO:0005634   | nucleus
 Smp_041480.3   | GO:0005737   | cytoplasm
 Smp_041570.1   | GO:0005524   | ATP binding
 Smp_041570.1   | GO:0005737   | cytoplasm
 Smp_056440.1   | GO:0055114   | oxidation-reduction process
 Smp_084540.1   | GO:0003676   | nucleic acid binding
 Smp_040570.1   | GO:0005622   | intracellular
 Smp_049550.1   | GO:0005524   | ATP binding
 Smp_129270.1   | GO:0007165   | signal transduction
 Smp_086900.1   | GO:0006886   | intracellular protein transport
 Smp_203500.1   | GO:0016021   | integral component of membrane
 Smp_179070.1   | GO:0004713   | protein tyrosine kinase activity
 Smp_193440.1   | GO:0003676   | nucleic acid binding
 Smp_055770.2   | GO:0008601   | protein phosphatase type 2A regulator activity
 Smp_000720.1   | GO:0004713   | protein tyrosine kinase activity
 Smp_153760.2   | GO:0006350   | transcription (obsolete GO:0006350)
 Smp_153760.2   | GO:0003677   | DNA binding
 Smp_153760.2   | GO:0003899   | DNA-directed RNA polymerase activity
 Smp_161590.1   | GO:0031227   | intrinsic component of endoplasmic reticulum membrane
 Smp_210350.1   | GO:0031227   | intrinsic component of endoplasmic reticulum membrane
 Smp_212780.1   | GO:0008270   | zinc ion binding
 Smp_212780.1   | GO:0003700   | transcription factor activity, sequence-specific DNA binding
 Smp_212780.1   | GO:0043565   | sequence-specific DNA binding
 Smp_212780.1   | GO:0005634   | nucleus
 Smp_212780.1   | GO:0006355   | regulation of transcription, DNA-templated
 Smp_010250.1   | GO:0005622   | intracellular
 Smp_073490.1   | GO:0004713   | protein tyrosine kinase activity
 Smp_075810.1   | GO:0004725   | protein tyrosine phosphatase activity
 Smp_900000.1   | GO:0005506   | iron ion binding
 Smp_900000.1   | GO:0016021   | integral component of membrane
 Smp_900000.1   | GO:0009055   | electron carrier activity
 Smp_091460.1   | GO:0006807   | nitrogen compound metabolic process
 Smp_061570.1   | GO:0000119   | mediator complex (obsolete GO:0000119)
 Smp_104960.1   | GO:0048193   | Golgi vesicle transport
 Smp_012570.1   | GO:0016021   | integral component of membrane
 Smp_210820.1   | GO:0004713   | protein tyrosine kinase activity
 Smp_900050.1   | GO:0042773   | ATP synthesis coupled electron transport
 Smp_194620.1   | GO:0030488   | tRNA methylation
 Smp_065580.3   | GO:0003723   | RNA binding
 Smp_114900.1   | GO:0009987   | cellular process
 Smp_085680.1   | GO:0004674   | protein serine/threonine kinase activity
 Smp_042670.2   | GO:0030983   | mismatched DNA binding
 Smp_042670.2   | GO:0005524   | ATP binding
 Smp_042670.2   | GO:0006298   | mismatch repair
 Smp_011700.1   | GO:0004674   | protein serine/threonine kinase activity
 Smp_017080.3   | GO:0008270   | zinc ion binding
 Smp_017080.3   | GO:0003676   | nucleic acid binding
 Smp_051550.1   | GO:0055114   | oxidation-reduction process
 Smp_103200.1   | GO:0033178   | proton-transporting two-sector ATPase complex, catalytic domain
 Smp_138620.1   | GO:0007050   | cell cycle arrest
 Smp_013840.2   | GO:0004713   | protein tyrosine kinase activity
 Smp_096200.1   | GO:0055114   | oxidation-reduction process
 Smp_165980.1   | GO:0003899   | DNA-directed RNA polymerase activity
 Smp_165980.1   | GO:0006350   | transcription (obsolete GO:0006350)
 Smp_165980.1   | GO:0003677   | DNA binding
 Smp_034920.1   | GO:0003777   | microtubule motor activity
 Smp_034920.1   | GO:0007018   | microtubule-based movement
 Smp_034920.1   | GO:0030286   | dynein complex
 Smp_126240.1   | GO:0004672   | protein kinase activity
 Smp_173950.1   | GO:0003964   | RNA-directed DNA polymerase activity
 Smp_173950.1   | GO:0003723   | RNA binding
 Smp_093930.2   | GO:0004674   | protein serine/threonine kinase activity
 Smp_210460.1   | GO:0030071   | regulation of mitotic metaphase/anaphase transition
 Smp_210460.1   | GO:0005680   | anaphase-promoting complex
 Smp_202120.1   | GO:0043565   | sequence-specific DNA binding
 Smp_202120.1   | GO:0006355   | regulation of transcription, DNA-templated
 Smp_202120.1   | GO:0003700   | transcription factor activity, sequence-specific DNA binding
 Smp_202120.1   | GO:0005634   | nucleus
 Smp_204580.1   | GO:0016021   | integral component of membrane
 Smp_088600.1   | GO:0005634   | nucleus
 Smp_006190.1   | GO:0003723   | RNA binding
 Smp_062510.2   | GO:0005622   | intracellular
 Smp_150850.2   | GO:0003677   | DNA binding
 Smp_150680.1   | GO:0005737   | cytoplasm
 Smp_179140.1   | GO:0005524   | ATP binding
 Smp_037400.1   | GO:0030071   | regulation of mitotic metaphase/anaphase transition
 Smp_037400.1   | GO:0005680   | anaphase-promoting complex
 Smp_142050.1   | GO:0004713   | protein tyrosine kinase activity
 Smp_210600.1   | GO:0003677   | DNA binding
 Smp_156420.1   | GO:0005622   | intracellular
 Smp_165780.1   | GO:0005739   | mitochondrion
 Smp_173280.1   | GO:0005634   | nucleus
 Smp_147560.1   | GO:0000119   | mediator complex (obsolete GO:0000119)
 Smp_166410.1   | GO:0000119   | mediator complex (obsolete GO:0000119)
 Smp_126020.1   | GO:0004333   | fumarate hydratase activity
 Smp_174690.1   | GO:0005622   | intracellular
 Smp_079760.1   | GO:0004674   | protein serine/threonine kinase activity
 Smp_063830.1   | GO:0006177   | GMP biosynthetic process
 Smp_078240.1   | GO:0003676   | nucleic acid binding
 Smp_035430.1   | GO:0007165   | signal transduction
 Smp_035430.1   | GO:0008601   | protein phosphatase type 2A regulator activity
 Smp_141230.1   | GO:0004713   | protein tyrosine kinase activity
 Smp_201250.1   | GO:0005509   | calcium ion binding
 Smp_040190.1   | GO:0004713   | protein tyrosine kinase activity
 Smp_135530.1   | GO:0006508   | proteolysis
 Smp_007690.1   | GO:0055114   | oxidation-reduction process
 Smp_017900.1   | GO:0004713   | protein tyrosine kinase activity
 Smp_178520.1   | GO:0006468   | protein phosphorylation
 Smp_075380.1   | GO:0005506   | iron ion binding
 Smp_000230.1   | GO:0003677   | DNA binding
 Smp_000230.1   | GO:0008270   | zinc ion binding
 Smp_000230.1   | GO:0006355   | regulation of transcription, DNA-templated
 Smp_000230.1   | GO:0006350   | transcription (obsolete GO:0006350)
 Smp_000230.1   | GO:0005634   | nucleus
 Smp_000230.1   | GO:0005622   | intracellular
 Smp_122190.1   | GO:0005524   | ATP binding
 Smp_122190.1   | GO:0005737   | cytoplasm
 Smp_000160.1   | GO:0016021   | integral component of membrane
 Smp_000160.1   | GO:0016020   | membrane
 Smp_000150.1   | GO:0003677   | DNA binding
 Smp_000150.1   | GO:0008270   | zinc ion binding
 Smp_000150.1   | GO:0006355   | regulation of transcription, DNA-templated
 Smp_000150.1   | GO:0016568   | chromatin modification
 Smp_000150.1   | GO:0006350   | transcription (obsolete GO:0006350)
 Smp_000150.1   | GO:0005634   | nucleus
 Smp_000150.1   | GO:0005622   | intracellular
 Smp_000140.1   | GO:0046872   | metal ion binding
 Smp_000140.1   | GO:0005737   | cytoplasm
 Smp_187940.1   | GO:0001727   | lipid kinase activity
 Smp_187940.1   | GO:0005737   | cytoplasm
 Smp_028410.1   | GO:0016021   | integral component of membrane
 Smp_028410.1   | GO:0016020   | membrane
 Smp_137560.1   | GO:0003777   | microtubule motor activity
 Smp_137560.1   | GO:0005524   | ATP binding
 Smp_137560.1   | GO:0007018   | microtubule-based movement
 Smp_137560.1   | GO:0030286   | dynein complex
 Smp_028490.1   | GO:0008654   | phospholipid biosynthetic process
 Smp_028490.1   | GO:0008152   | metabolic process
 Smp_028490.1   | GO:0016021   | integral component of membrane
 Smp_028490.1   | GO:0016020   | membrane
 Smp_177900.1   | GO:0005524   | ATP binding
 Smp_177900.1   | GO:0005737   | cytoplasm
 Smp_064590.3   | GO:0000166   | nucleotide binding
 Smp_064590.3   | GO:0003723   | RNA binding
 Smp_064590.3   | GO:0005634   | nucleus
 Smp_064590.3   | GO:0005737   | cytoplasm
